"u_id","NA_Count","KS_Count","ML_Count","PS_Count"
"A0001",9,4,1,0
"A0005",9,21,3,2
"A0008",11,5,6,0
"A0009",11,9,0,2
"A0010",2,6,0,1
"A0011",28,13,0,4
"A0015",0,1,0,0
"A0018",1,0,1,3
"A0019",3,10,0,3
"A0020",15,2,0,3
"A0021",4,8,1,2
"A0022",1,7,0,2
"A0024",6,2,6,0
"A0025",11,4,2,1
"A0026",5,0,1,1
"A0029",1,1,6,6
"A0030",0,0,0,1
"A0033",0,2,2,0
"A0034",1,2,0,0
"A0037",0,1,1,0
"A0039",21,2,0,12
"A0040",0,3,1,0
"A0041",9,9,0,1
"A0042",3,3,0,1
"A0043",0,1,0,0
"A0044",0,3,1,1
"A0046",8,9,11,2
"A0047",2,2,0,3
"A0048",2,2,0,3
"A0049",0,7,0,4
"A0050",9,6,0,0
"A0052",3,6,0,0
"A0054",0,2,1,1
"A0056",3,8,1,0
"A0057",0,2,0,0
"A0059",0,1,0,0
"A0061",6,5,5,3
"A0064",3,1,0,5
"A0065",0,0,1,0
"A0066",2,2,2,2
"A0067",5,3,5,1
"A0069",3,0,0,1
"A0071",6,0,0,1
"A0073",1,6,2,2
"A0074",2,56,0,0
"A0075",0,1,0,2
"A0077",1,1,3,0
"A0080",13,7,0,1
"A0081",0,3,1,4
"A0082",0,2,0,1
"A0084",5,5,3,0
"A0087",0,1,0,0
"A0088",2,0,7,0
"B0005",3,1,0,0
"B0007",4,8,10,4
"B0009",0,0,0,1
"B0012",0,1,0,2
"B0013",1,0,1,0
"B0018",2,6,1,0
"B0020",7,1,1,0
"B0025",1,1,3,0
"B0026",7,2,0,5
"B0027",0,3,1,0
"All users",252,280,91,94
